,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,641,WHOSIS_000001,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,SEX,SEX_MLE,2008,,,,,,,48.0 [46.7-49.6],48.03754,46.71678,49.62846,,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
1,779,WHOSIS_000001,COUNTRY,BTN,SEAR,YEAR,South-East Asia,SEX,SEX_BTSX,2002,,,,,,,67.8 [67.1-68.6],67.84567,67.08312,68.55874,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
2,2707,WHOSIS_000001,COUNTRY,BHR,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,2011,,,,,,,75.2 [75.1-75.4],75.20536,75.05048,75.38518,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
3,5132,WHOSIS_000001,COUNTRY,SAU,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,2005,,,,,,,73.1 [72.8-73.5],73.12227,72.80645,73.47895,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
4,5353,WHOSIS_000001,COUNTRY,CYP,EUR,YEAR,Europe,SEX,SEX_MLE,2003,,,,,,,76.9 [76.7-77.2],76.86013,76.67124,77.16348,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
5,5595,WHOSIS_000001,COUNTRY,DNK,EUR,YEAR,Europe,SEX,SEX_MLE,2014,,,,,,,78.6 [78.6-78.7],78.61687,78.59348,78.70575,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6,6557,WHOSIS_000001,COUNTRY,PHL,WPR,YEAR,Western Pacific,SEX,SEX_BTSX,2007,,,,,,,69.6 [69.3-70.0],69.58191,69.27042,69.99117,,2024-08-02T09:43:39.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
7,6972,WHOSIS_000001,COUNTRY,MAR,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,2020,,,,,,,73.9 [73.3-74.4],73.86985,73.33215,74.427,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
8,7709,WHOSIS_000001,COUNTRY,WSM,WPR,YEAR,Western Pacific,SEX,SEX_FMLE,2004,,,,,,,72.1 [71.6-72.7],72.08096,71.56648,72.73082,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9,8706,WHOSIS_000001,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,SEX,SEX_MLE,2014,,,,,,,78.4 [78.0-78.9],78.39097,77.97735,78.89185,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
10,9716,WHOSIS_000001,COUNTRY,URY,AMR,YEAR,Americas,SEX,SEX_BTSX,2015,,,,,,,77.1 [77.1-77.2],77.09925,77.05356,77.20308,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
11,9718,WHOSIS_000001,COUNTRY,DNK,EUR,YEAR,Europe,SEX,SEX_FMLE,2020,,,,,,,83.2 [83.1-83.3],83.16167,83.13841,83.25734,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
12,9749,WHOSIS_000001,COUNTRY,PRI,AMR,YEAR,Americas,SEX,SEX_MLE,2020,,,,,,,76.1 [76.1-76.3],76.1409,76.05103,76.30636,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
13,10571,WHOSIS_000001,COUNTRY,GHA,AFR,YEAR,Africa,SEX,SEX_MLE,2005,,,,,,,58.3 [57.7-59.0],58.29583,57.73965,59.00903,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
14,11167,WHOSIS_000001,COUNTRY,TON,WPR,YEAR,Western Pacific,SEX,SEX_BTSX,2019,,,,,,,72.9 [72.4-73.6],72.94213,72.39304,73.64425,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
