Country,Sex,LifeExpectancy
BGD,Male,72.08322
CZE,Female,81.69093
ECU,Both Sexes,77.31252
MLT,Both Sexes,82.05745
ISR,Female,84.2361
ARE,Both Sexes,80.92702
MDA,Both Sexes,72.85856
SLE,Female,59.97648
PRI,Female,81.76593
RWA,Male,65.35537
MYS,Male,72.68497
LCA,Both Sexes,76.1389
EUR,Male,74.45485
LBN,Female,81.32461
AUT,Both Sexes,81.38857
AFR,Both Sexes,63.36221
PAK,Male,65.62912
URY,Both Sexes,77.33934
FJI,Female,70.06878
MOZ,Both Sexes,57.33254
MKD,Both Sexes,75.98452
BWA,Both Sexes,64.01181
PER,Male,77.8535
COM,Female,69.01943
JOR,Female,79.58327
KGZ,Female,76.40308
LSO,Both Sexes,51.05417
TUN,Male,74.61286
NAM,Both Sexes,62.37184
UZB,Both Sexes,70.40271
VUT,Both Sexes,66.98064
AGO,Both Sexes,62.03683
DJI,Female,66.44386
PAK,Both Sexes,66.38183
CIV,Female,65.04122
NER,Male,59.33292
SVN,Both Sexes,80.78989
KOR,Both Sexes,83.09218
ARG,Male,73.58865
EMR,Both Sexes,69.5081
DZA,Male,76.04557
ARG,Both Sexes,76.64354
NZL,Female,82.81933
WB_UMI,Both Sexes,75.28837
WPR,Female,80.5228
GIN,Female,61.43768
KAZ,Male,68.66786
SEAR,Male,69.12917
GBR,Male,79.19803
EUR,Female,80.71166
SLB,Male,63.10897
HUN,Both Sexes,75.90176
SLB,Female,68.04044
FSM,Male,62.98737
CRI,Female,82.67329
KWT,Female,86.25924
BEN,Male,60.99889
VEN,Male,68.70067
ZMB,Both Sexes,61.28533
LBY,Both Sexes,73.1517
BHS,Both Sexes,73.21937
DOM,Male,70.17131
MLI,Female,61.48831
SEN,Both Sexes,68.11975
COG,Female,63.19296
GUY,Female,71.51882
UGA,Male,61.81729
DOM,Female,76.93329
ESP,Male,80.07545
BEN,Both Sexes,63.34863
CHN,Male,74.15977
KIR,Female,65.03646
PRT,Female,83.97664
CMR,Both Sexes,60.6426
BIH,Male,74.91483
BEL,Both Sexes,81.15125
NOR,Male,80.77622
MRT,Male,69.73991
PRK,Both Sexes,71.92237
SAU,Male,76.4399
CAF,Both Sexes,51.26742
WB_HI,Both Sexes,80.58823
ISL,Both Sexes,82.27341
SVK,Both Sexes,77.09456
TLS,Both Sexes,68.23559
CPV,Both Sexes,74.91155
MNG,Both Sexes,70.09899
BEN,Female,65.75691
BRA,Both Sexes,74.98912
KEN,Female,68.14163
GBR,Female,82.61753
HTI,Both Sexes,63.246
SUR,Male,70.2884
NPL,Both Sexes,70.84484
EST,Both Sexes,78.21614
GTM,Both Sexes,72.69595
WB_LI,Male,61.05712
COM,Male,66.66788
CAF,Male,48.31672
BDI,Male,61.73259
LTU,Both Sexes,75.48786
MDG,Female,64.60072
SEAR,Female,72.49629
AGO,Male,59.80257
KHM,Both Sexes,69.12695
BRA,Female,78.47387
USA,Male,76.30737
HND,Female,72.55128
BFA,Both Sexes,61.88093
ATG,Both Sexes,75.56558
VEN,Both Sexes,72.98366
BGD,Both Sexes,73.37868
SYC,Male,70.01395
SGP,Both Sexes,83.22151
GNB,Female,60.58973
WSM,Both Sexes,69.98522
SVK,Male,73.69945
SSD,Male,56.69335
WB_LI,Female,65.57413
BRB,Male,75.11818
BHR,Female,76.78468
KIR,Both Sexes,61.81778
NPL,Female,72.61468
BTN,Both Sexes,73.54717
BRB,Female,77.47054
SDN,Female,70.11978
PNG,Male,65.35461
